Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Alavés,26,26.7,42.7,38,418,3420,38.0,39,27,37,2,3,101,1,1.03,0.71,1.74,0.97,1.68,37.3,35.0,23.9,58.9,0.98,0.63,1.61,0.92,1.55
Athletic Club,27,27.6,50.1,38,418,3420,38.0,38,26,33,5,7,118,4,1.00,0.68,1.68,0.87,1.55,40.2,34.8,25.3,60.1,1.06,0.66,1.72,0.92,1.58
Atlético Madrid,29,26.4,49.4,38,418,3420,38.0,52,36,49,3,4,100,5,1.37,0.95,2.32,1.29,2.24,46.0,42.9,31.3,74.3,1.21,0.82,2.04,1.13,1.95
Barcelona,30,27.7,64.2,38,418,3420,38.0,88,61,80,8,9,76,2,2.32,1.61,3.92,2.11,3.71,73.8,67.0,53.7,120.7,1.94,1.41,3.36,1.76,3.18
Betis,25,26.7,61.7,38,418,3420,38.0,43,30,38,5,7,89,1,1.13,0.79,1.92,1.00,1.79,48.8,43.5,33.3,76.8,1.28,0.88,2.16,1.14,2.02
Celta Vigo,28,25.5,51.7,38,418,3420,38.0,52,37,45,7,7,79,6,1.37,0.97,2.34,1.18,2.16,44.8,39.6,29.9,69.5,1.18,0.79,1.96,1.04,1.83
Eibar,25,28.5,54.1,38,418,3420,38.0,46,26,39,7,8,81,2,1.21,0.68,1.89,1.03,1.71,50.7,44.8,31.7,76.5,1.34,0.84,2.17,1.18,2.01
Espanyol,25,27.7,49.5,38,418,3420,38.0,44,26,40,4,4,90,2,1.16,0.68,1.84,1.05,1.74,48.8,45.8,32.6,78.4,1.28,0.86,2.14,1.20,2.06
Getafe,26,27.5,40.8,38,418,3420,38.0,47,34,41,6,6,107,7,1.24,0.89,2.13,1.08,1.97,44.7,40.2,29.0,69.2,1.18,0.76,1.94,1.06,1.82
Girona,26,26.6,48.0,38,418,3420,38.0,37,23,31,6,6,81,4,0.97,0.61,1.58,0.82,1.42,38.6,34.5,25.1,59.6,1.01,0.66,1.67,0.91,1.57
Huesca,30,26.7,44.7,38,418,3420,38.0,43,28,37,6,7,113,3,1.13,0.74,1.87,0.97,1.71,45.9,40.6,26.2,66.8,1.21,0.69,1.90,1.07,1.76
Leganés,29,26.6,42.8,38,418,3420,38.0,36,25,33,3,5,104,4,0.95,0.66,1.61,0.87,1.53,37.4,33.8,24.5,58.3,0.99,0.64,1.63,0.89,1.53
Levante,26,26.3,45.6,38,418,3420,38.0,56,39,51,5,7,107,7,1.47,1.03,2.50,1.34,2.37,49.9,44.5,35.1,79.6,1.31,0.92,2.24,1.17,2.09
Rayo Vallecano,29,26.6,48.7,38,418,3420,38.0,40,24,35,5,5,101,8,1.05,0.63,1.68,0.92,1.55,40.8,37.0,26.2,63.2,1.07,0.69,1.76,0.97,1.66
Real Madrid,27,27.1,60.0,38,418,3420,38.0,61,39,52,9,9,79,6,1.61,1.03,2.63,1.37,2.39,61.3,54.8,42.9,97.6,1.61,1.13,2.74,1.44,2.57
Real Sociedad,30,24.9,51.6,38,418,3420,38.0,44,27,36,8,10,80,4,1.16,0.71,1.87,0.95,1.66,46.5,39.3,29.2,68.5,1.22,0.77,1.99,1.03,1.80
Sevilla,27,27.9,52.2,38,418,3420,38.0,61,47,56,5,6,114,6,1.61,1.24,2.84,1.47,2.71,63.5,58.8,43.7,102.5,1.67,1.15,2.82,1.55,2.70
Valencia,25,26.4,47.1,38,418,3420,38.0,50,38,45,5,7,88,3,1.32,1.00,2.32,1.18,2.18,57.3,52.0,42.9,94.9,1.51,1.13,2.64,1.37,2.50
Valladolid,28,27.4,47.0,38,418,3420,38.0,31,19,27,4,7,92,0,0.82,0.50,1.32,0.71,1.21,40.3,35.0,26.0,61.0,1.06,0.68,1.75,0.92,1.61
Villarreal,26,27.1,48.3,38,418,3420,38.0,47,34,44,3,6,115,3,1.24,0.89,2.13,1.16,2.05,50.7,46.6,35.8,82.4,1.34,0.94,2.28,1.23,2.17
